year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
1,324.0,354.5,17.0,0.0,3,117,2600,400,0.0,0.0,0.0,0,1.52
2,324.0,161.1,18.2,0.0,4,106,5950,1190,0.0,3.4,0.0,0,1.62
3,324.0,170.7,18.5,0.0,4,110,5950,1190,0.0,21.3,0.0,4,1.68
4,324.0,223.9,18.9,0.0,3,110,6150,1340,0.0,21.3,0.0,5,1.78
5,324.0,228.2,18.4,0.0,2,113,6340,1450,0.0,23.9,0.0,7,1.8
6,324.0,225.0,17.2,0.0,4,114,6630,1500,0.0,24.9,0.0,7,1.81
7,324.0,130.0,18.4,0.0,3,103,6700,1540,0.9,25.2,0.0,7,1.86
8,324.0,100.6,19.0,0.0,2,114,6740,1590,0.9,52.8,0.0,8,1.89
9,324.0,176.5,19.0,0.0,3,108,7175,1787,3.4,60.5,57.0,8,1.92
10,324.0,53.6,19.0,0.0,2,105,7567,1885,16.8,105.0,65.0,9,1.96
1,327.7,336.6,21.3,0.0,4,106,5810,2030,0.0,0.0,0.0,0,0.712
2,327.7,240.2,22.1,0.0,3,104,5900,2200,0.0,0.0,0.0,0,0.72
3,327.7,155.3,22.4,0.0,3,104,6100,2500,0.0,0.0,0.0,0,0.752
4,327.7,77.0,23.0,0.0,2,105,6140,2650,0.0,9.0,0.0,0,0.758
5,327.7,146.3,22.5,0.0,2,108,6200,2800,2.9,11.0,0.0,6,0.762
6,327.7,216.3,21.2,0.0,4,111,6500,2550,34.8,18.6,0.0,7,0.77
7,327.7,77.1,22.4,0.0,4,106,19437,7674,50.6,24.9,0.0,7,0.781
8,327.7,90.3,22.8,0.0,2,105,22755,8472,56.7,27.0,1.0,8,0.789
9,327.7,238.5,22.8,0.0,2,103,26640,9353,60.9,30.2,1.0,8,0.794
10,327.7,62.0,22.7,0.0,2,102,30525,10234,76.5,44.3,5.0,9,0.795
1,487.7,222.4,21.3,0.0,3,107,1850,610,0.0,0.0,0.0,0,1.211
2,487.7,224.9,21.2,0.0,3,109,1880,660,0.0,0.0,0.0,0,1.241
3,487.7,226.6,21.1,0.0,3,108,1380,490,31.6,0.0,0.0,10,1.273
4,487.7,424.4,21.2,0.0,2,105,1760,620,33.7,0.0,0.0,11,1.0
5,487.7,257.1,21.2,0.0,4,111,1700,610,36.7,0.0,0.0,11,1.356
6,487.7,256.0,21.8,0.0,3,109,1600,610,40.6,0.0,0.0,12,1.269
7,487.7,226.7,22.1,0.0,3,108,1760,860,66.6,0.0,0.0,13,1.311
8,487.7,82.7,22.6,0.0,2,106,1800,900,71.6,0.0,0.0,13,1.39
9,487.7,135.4,22.2,0.0,2,109,1900,1130,75.4,0.0,0.0,14,1.414
10,487.7,93.2,22.5,0.0,4,110,2140,1270,78.5,0.0,0.0,16,1.432
1,543.6,222.5,22.5,0.0,3,107,1700,570,0.0,0.0,0.0,0,1.31
2,543.6,229.0,21.2,0.0,3,109,1880,660,0.0,0.0,0.0,5,1.36
3,543.6,226.6,21.1,0.0,3,108,1380,490,0.0,0.0,4.0,5,1.419
4,543.6,424.4,21.2,0.0,2,105,1760,620,1.1,20.7,4.0,6,1.518
5,543.6,257.1,21.2,0.0,4,111,1800,620,0.3,28.8,37.0,6,1.578
6,543.6,256.0,21.8,0.0,3,109,1600,610,0.4,41.5,41.0,7,1.645
7,543.6,226.7,22.1,0.0,3,108,1760,860,8.2,52.3,51.0,7,1.692
8,543.6,82.7,22.6,0.0,2,106,1800,900,14.5,55.5,61.0,8,1.729
9,543.6,135.4,22.2,0.0,2,109,1900,1130,24.8,57.3,64.0,8,1.889
10,543.6,93.2,22.5,0.0,4,110,2140,1270,28.5,60.5,67.0,11,2.004
1,434.4,369.1,9.8,79.0,9,117,5600,1980,0.0,163.5,27.0,0,1.034
2,434.4,275.7,10.6,90.9,6,113,5650,2000,0.0,167.9,29.0,3,1.058
3,434.4,308.1,10.9,44.9,7,113,6400,2800,0.0,170.8,31.0,4,1.09
4,434.4,193.3,11.4,71.0,4,120,7150,3750,0.0,182.5,31.0,5,1.1
5,434.4,328.2,10.7,149.6,3,119,8250,4200,0.0,185.1,32.0,5,1.126
6,434.4,250.4,9.9,98.2,6,118,9300,4300,0.0,189.7,32.0,5,1.137
7,434.4,215.2,10.8,68.2,8,108,10200,4650,0.0,214.0,34.0,6,1.527
8,434.4,224.5,11.6,57.0,5,107,12632,5979,0.0,253.0,34.0,6,1.727
9,434.4,293.4,11.6,110.0,5,111,12884,6099,0.0,261.8,34.0,6,1.771
10,434.4,149.0,11.7,72.0,3,110,13142,6225,0.0,276.2,34.0,6,1.792
1,320.0,174.9,21.7,0.0,2,108,5600,1680,0.0,0.0,1.0,0,1.022
2,320.0,187.8,22.3,0.0,3,107,6400,1920,0.0,0.0,1.0,0,1.038
3,320.0,270.2,21.6,0.0,3,103,8000,2400,0.0,0.0,2.0,0,1.0041
4,320.0,217.7,22.0,0.0,3,103,8000,2400,0.0,2.4,2.0,23,1.052
5,320.0,154.7,22.8,0.0,2,108,8000,2400,0.1,3.6,5.0,24,1.059
6,320.0,182.6,21.6,0.0,3,105,7200,2250,0.1,6.5,8.0,26,1.065
7,320.0,297.7,21.3,0.0,4,105,6850,2650,0.2,22.6,9.0,27,1.069
8,320.0,366.8,21.5,0.0,2,104,7200,2800,0.3,70.5,12.0,27,1.073
9,320.0,336.6,21.3,0.0,4,106,7450,3030,0.5,160.5,28.0,31,1.101
10,320.0,240.2,22.1,0.0,3,104,7600,3300,1.0,185.6,39.0,33,1.107
1,264.2,435.9,12.9,9.8,6,117,2900,900,0.0,0.0,0.0,9,1.181
2,264.2,433.8,12.4,78.3,5,107,3400,1000,0.0,0.0,0.0,9,1.263
3,264.2,326.2,12.8,56.2,6,116,3600,1100,0.0,23.5,10.0,10,1.292
4,264.2,179.1,13.8,39.0,3,119,3400,1000,0.0,40.2,14.0,10,1.371
5,264.2,373.3,12.6,107.0,5,115,3600,1100,0.0,77.8,17.0,11,1.489
6,264.2,417.7,12.3,20.0,7,113,3750,1150,0.0,129.4,24.0,11,1.569
7,264.2,494.8,12.5,36.0,7,116,3800,1150,0.0,165.3,31.0,11,2.126
8,264.2,473.2,12.2,9.0,6,130,4000,1200,0.0,193.5,35.0,14,2.534
9,264.2,315.6,13.0,15.5,5,118,4100,1240,0.0,201.5,41.0,40,3.065
10,264.2,231.7,13.4,4.5,6,0,4300,1300,0.0,246.9,48.0,176,3.164
1,505.6,242.5,21.8,0.0,3,108,6500,2650,0.0,0.0,0.0,0,0.491
2,505.6,135.4,22.2,0.0,2,111,7000,3240,0.0,0.0,0.0,0,0.512
